finished,age,gender,educ,employment,income,ideology_left,attention_check,democ1_squabble_pre,democ2_econ_bad_pre,democ3_no_order_pre,democ4_military_pre,democ5_better_pre,dem_estimate_pre,treat_share_high,dem_estimate_post,treat_turnout_high,democ1_squabble_post,democ2_econ_bad_post,democ3_no_order_post,democ4_military_post,democ5_better_post,behavioral,part_time_employ,full_time_employ,democ_post_all_missing,pre_democ_index,post_democ_index,male,zip_first_digit,non_white_share
1,72,Female,2,Retired,60000,2,8,NA,NA,3,4,NA,30,1,50,0,3,3,NA,NA,4,0,0,0,0,7,10,0,7,0.4709719137451152
1,70,Female,2,Retired,55000,2,8,5,NA,NA,NA,5,41,0,39,0,NA,5,5,5,NA,0,0,0,0,10,15,0,2,0.35761589403973515
1,72,Female,2,Retired,60000,2,8,3,NA,NA,NA,3,30,0,30,1,NA,3,3,4,NA,0,0,0,0,6,10,0,7,0.4709719137451152
1,31,Female,5,Part-time employed,19000,2,8,NA,2,2,NA,NA,85,0,44,1,2,NA,NA,3,2,0,1,0,0,4,7,0,7,0.2569410102437302
1,58,Male,4,Part-time employed,45000,2,8,NA,5,NA,5,NA,60,1,25,0,5,NA,5,NA,5,0,1,0,0,10,15,1,2,0.6092274615764548
1,69,Male,5,Retired,38000,3,8,NA,NA,5,NA,5,60,1,50,1,4,5,NA,5,NA,1,0,0,0,10,14,1,6,0.4339668735036889
1,59,Female,4,Retired,10000,1,8,NA,5,5,NA,NA,41,0,44,0,5,NA,NA,5,5,0,0,0,0,10,15,0,2,0.05702933271006194
1,66,Female,2,Permanently disabled,14999,2,8,1,NA,NA,2,NA,80,0,44,1,NA,1,1,NA,3,1,0,0,0,3,5,0,3,0.1849326189316447
1,69,Male,5,Retired,38000,3,8,4,NA,NA,NA,5,51,0,44,1,NA,5,5,5,NA,0,0,0,0,9,15,1,6,0.4339668735036889
1,81,Male,5,Retired,53000,3,8,NA,NA,4,4,NA,46,0,46,1,3,4,NA,NA,5,0,0,0,0,8,12,1,3,0.21946165004950613
1,77,Female,2,Retired,20892,2,8,NA,2,2,NA,NA,74,1,50,1,2,NA,NA,4,4,0,0,0,0,4,10,0,3,0.09984680544291248
